TITLE	07-ar-30min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/09/22
TIME	13:49:13
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  600.0000
LASTX	  250.0000
NPOINTS	     351
FIRSTY	    -0.00045
MAXY	     2.42073
MINY	    -0.00045
XYDATA
367.0000	0.00610671
366.0000	0.00638293
365.0000	0.00649399
364.0000	0.00673964
363.0000	0.00677749
362.0000	0.006768
361.0000	0.00673306
360.0000	0.00699643
359.0000	0.006445
358.0000	0.00636463
357.0000	0.00608857
356.0000	0.00627657
355.0000	0.00623869
354.0000	0.0060346
353.0000	0.00630798
352.0000	0.00607376
351.0000	0.00610321
350.0000	0.00700664
349.0000	0.00730531
348.0000	0.00766991
347.0000	0.00841294
346.0000	0.00897443
345.0000	0.0092565
344.0000	0.00988472
343.0000	0.00955247
342.0000	0.00978709
341.0000	0.0107731
340.0000	0.00884334
339.0000	0.00928534
338.0000	0.00953316
337.0000	0.00995258
336.0000	0.0104592
335.0000	0.0112146
334.0000	0.0118938
333.0000	0.0127085
332.0000	0.0136295
331.0000	0.0146752
330.0000	0.0157787
329.0000	0.0168482
328.0000	0.0180933
327.0000	0.0195691
326.0000	0.0211894
325.0000	0.0229759
324.0000	0.02498
323.0000	0.0272782
322.0000	0.0298034
321.0000	0.0325575
320.0000	0.0354805
319.0000	0.0385922
318.0000	0.0419123
317.0000	0.0454237
316.0000	0.0493094
315.0000	0.0538053
314.0000	0.0592444
313.0000	0.0661606
312.0000	0.0748968
311.0000	0.086054
310.0000	0.0998595
309.0000	0.116608
308.0000	0.136036
307.0000	0.157573
306.0000	0.179724
305.0000	0.200652
304.0000	0.218681
303.0000	0.232811
302.0000	0.242859
301.0000	0.249959
300.0000	0.256539
299.0000	0.26591
298.0000	0.281868
297.0000	0.307838
296.0000	0.34665
295.0000	0.400162
294.0000	0.46924
293.0000	0.554505
292.0000	0.656823
291.0000	0.778038
290.0000	0.920107
289.0000	1.08519
288.0000	1.27661
287.0000	1.5034
286.0000	1.7785
285.0000	2.11266
284.0000	2.42073
283.0000	2.38256
282.0000	2.09201
281.0000	1.82243
280.0000	1.60899
279.0000	1.44058
278.0000	1.30682
277.0000	1.20152
276.0000	1.11789
275.0000	1.05097
274.0000	1.00065
273.0000	0.97049
272.0000	0.956506
271.0000	0.934603
270.0000	0.890436
269.0000	0.847241
268.0000	0.815931
267.0000	0.788823
266.0000	0.764425
265.0000	0.749629
264.0000	0.750024
263.0000	0.757163
262.0000	0.756789
261.0000	0.747017
260.0000	0.728816
259.0000	0.703131
258.0000	0.67756
257.0000	0.657144
256.0000	0.637839
255.0000	0.61751
254.0000	0.597002
253.0000	0.576646
252.0000	0.557219
251.0000	0.539697
250.0000	0.522975

##### Extended Information
[Comments]
Sample name	07-ar-30min
Comment	1
User	LASJ
Division
Company	Universität Heidelberg

[Detailed Information]
Creation date	22.09.2020 12:49

Data array type	Linear data array
Horizontal axis	Wavelength [nm]
Vertical axis	Abs
Start	600 nm
End	250 nm
Data interval	1 nm
Data points	351     

[Measurement Information]
Instrument name	V-670
Model name	V-670
Serial No.	B073561154

Accessory	USE-753
Accessory S/N	C257561148
  Cell length	10 mm

Measurement date	22.09.2020 12:48

Photometric mode	Abs
Measurement range	600 - 250 nm
Data interval	1 nm
UV/Vis bandwidth	1.0 nm
NIR bandwidth	4.0 nm
Response	Medium
Scan speed	400 nm/min
Change source at	340 nm
Change grating at	850 nm
Light source	D2/WI
Filter exchange	Step
Correction	Baseline

